X(E/m),Y(N/m)
332254.9446006748,4128604.125011314
332254.9446006748,4128604.125011314
332254.94482277276,4128604.1361068063
332254.94482277276,4128604.1361068063
332254.9446006748,4128604.125011314
332254.9616646294,4128604.0913699344
332254.9443785768,4128604.113915824
332254.953687897,4128604.135929354
332254.93640184216,4128604.1584752416
332254.9011634432,4128604.170280545
332254.8659250443,4128604.182085849
332254.8131784953,4128604.205341549
332254.75156682,4128604.228774702
332254.6899551451,4128604.2522078576
332254.62856557127,4128604.286736503
332254.5669538971,4128604.310169659
332254.50534222333,4128604.3336028154
332254.4348654279,4128604.357213424
332254.38234097755,4128604.3915646197
332254.320729307,4128604.4149977765
332254.2591176346,4128604.438430934
332254.21523621265,4128604.4615091854
332254.1536245409,4128604.4849423454
332254.1008779954,4128604.5081980494
332254.0392663242,4128604.5316312085
332253.977432554,4128604.543968876
332253.8273917443,4128604.5802720683
332253.7480498266,4128604.6040601386
332253.67735093576,4128604.616575262
332253.5982311185,4128604.651458825
332253.519111302,4128604.686342389
332253.4399914861,4128604.721225953
332253.3520065471,4128604.756286972
332253.2817518583,4128604.7909930833
332253.2026320443,4128604.8258766504
332253.1323773545,4128604.860582762
332253.06212266523,4128604.895288876
332253.00028890104,4128604.9076265516
332252.92116908915,4128604.9425101206
332252.8506923006,4128604.966120743
332252.7622631668,4128604.978990787
332252.69178637885,4128605.002601412
332252.62130959367,4128605.026212037
332252.5508328065,4128605.0498226625
332252.4717129976,4128605.084706236
332252.30460826075,4128605.154650841
332252.22571055545,4128605.2006299086
332252.137725626,4128605.2356909416
332252.06724884186,4128605.259301572
332251.9792639136,4128605.294362605
332251.8999220071,4128605.318150693
332251.81171498017,4128605.342116238
332251.7148649307,4128605.3773547313
332251.6264358001,4128605.3902247865
332251.4416008274,4128605.4605243215
332251.35361590364,4128605.495585363
332251.2656309806,4128605.530646404
332251.16900304065,4128605.5769803957
332251.08101811685,4128605.6120414394
332250.99303319823,4128605.647102484
332250.9136912974,4128605.670890582
332250.83457150066,4128605.705774171
332250.74658658396,4128605.740835218
332250.5792597669,4128605.7996843676
332250.4821876233,4128605.823827385
332250.3853375842,4128605.859065893
332250.2973526686,4128605.894126946
332250.2093677536,4128605.929187999
332250.1125177168,4128605.964426513
332250.0245328033,4128605.999487567
332249.9456351199,4128606.045466656
332249.85787231266,4128606.091623205
332249.7787525237,4128606.1265068064
332249.6994106305,4128606.1502949134
332249.60233849287,4128606.1744379397
332249.51413147815,4128606.1984035107
332249.4257023606,4128606.2112735873
332249.34636046895,4128606.235061701
332249.2583755611,4128606.2701227646
332249.1615255317,4128606.305361288
332249.07376273116,4128606.351517844
332248.9857778256,4128606.3865789124
332248.8186731407,4128606.456523589
332248.7395533591,4128606.4914071984
332248.65134634974,4128606.5153727764
332248.5633614475,4128606.550433849
332248.4665114238,4128606.58567238
332248.3603520655,4128606.5988973896
332248.2635020455,4128606.6341359224
332248.17551714584,4128606.669196999
332248.06957989605,4128606.693517504
332247.8761019641,4128606.7750900714
332247.77947405336,4128606.8214241047
332247.69148915744,4128606.8564851847
332247.6125914918,4128606.9024642967
332247.533693827,4128606.94844341
332247.4457089356,4128606.983504494
332247.3575019344,4128607.0074700858
332247.26042981225,4128607.031613141
332247.17244492046,4128607.0666742255
332246.96079254476,4128607.1264107553
332246.8548553035,4128607.1507312763
332246.7402750505,4128607.186324751
332246.643425041,4128607.2215633052
332246.54679714155,4128607.2678973516
332246.4588122549,4128607.3029584447
332246.3794703806,4128607.326746586
332246.2912633879,4128607.350712189
332246.1939691623,4128607.3637597645
332246.1062063879,4128607.4099163543
332246.0182215044,4128607.4449774525
332245.9215936108,4128607.491311507
332245.8249657181,4128607.5376455616
332245.7283378264,4128607.583979618
332245.6403529462,4128607.61904072
332245.5525901773,4128607.665197315
332245.4825576533,4128607.710998987
332245.4034378961,4128607.7458826285
332245.3243181396,4128607.7807662715
332245.1392611549,4128607.8399704588
332245.0335460382,4128607.875386494
332244.9451169429,4128607.8882566215
332244.85690995713,4128607.912222241
332244.760059963,4128607.9474608162
332244.64547972835,4128607.9830543194
332244.54862973583,4128608.0182928992
332244.46086697665,4128608.064449506
332244.3733263307,4128608.1217016065
332244.28556357353,4128608.1678582155
332244.2066659398,4128608.21383736
332244.1098159516,4128608.249075945
332244.01296596404,4128608.284314529
332243.9072508571,4128608.319730581
332243.79222640453,4128608.3331331126
332243.695154306,4128608.357276209
332243.5896613144,4128608.403787756
332243.48372409696,4128608.4281083187
332243.3782311073,4128608.4746198687
332243.18497537135,4128608.5672880397
332243.0881253909,4128608.6025266363
332242.89420331805,4128608.661908339
332242.78848821984,4128608.697324404
332242.69141612784,4128608.7214675127
332242.5943440363,4128608.745610622
332242.49727194523,4128608.7697537336
332242.4006440869,4128608.816087828
332242.20716625114,4128608.897660531
332242.10167327384,4128608.9441720964
332242.00504541944,4128608.9905061964
332241.90841756156,4128609.0368403005
332241.8206548287,4128609.0829969347
332241.7238048592,4128609.1182355476
332241.6178676551,4128609.1425561346
332241.52101768705,4128609.177794749
332241.4241677198,4128609.213033364
332241.2302456711,4128609.272415106
332241.13339570595,4128609.307653726
332241.0276806223,4128609.3430698127
332240.93083065876,4128609.378308435
332240.83420281304,4128609.424642549
332240.7373528534,4128609.4598811734
332240.64072500734,4128609.5062152906
332240.54387504706,4128609.541453916
332240.4377157334,4128609.5546790273
332240.234484346,4128609.5920472783
332240.137412268,4128609.616190416
332240.022609957,4128609.6406884925
332239.917117,4128609.687200088
332239.82026704215,4128609.722438722
332239.73228220857,4128609.7574998876
332239.6356543732,4128609.803834016
332239.5474474201,4128609.827799693
332239.46832770517,4128609.8626833935
332239.28282656585,4128609.899696729
332239.18597661285,4128609.9349353705
332239.0977696645,4128609.9589010524
332238.9920545964,4128609.9943171656
332238.9040697665,4128610.029378342
332238.81608493725,4128610.0644395165
332238.7192349902,4128610.0996781657
332238.6226071638,4128610.146012305
332238.5257572184,4128610.1812509545
332238.4379945147,4128610.2274076277
332238.3497875666,4128610.2513733166
332238.27066786244,4128610.2862570286
332238.17359579925,4128610.3104001908
332238.06765861827,4128610.3347208253
332237.9705865561,4128610.358863988
332237.88237961277,4128610.3828296834
332237.80303778825,4128610.406617908
332237.70596572745,4128610.430761075
332237.6093379101,4128610.477095227
332237.5124879745,4128610.5123338895
332237.4247252748,4128610.558490573
332237.3371847024,4128610.6157427495
332237.249422007,4128610.6618994335
332237.1791674265,4128610.696605684
332237.1000477286,4128610.7314894064
332237.0029756734,4128610.755632583
332236.92363385664,4128610.7794208154
332236.82656180236,4128610.8035639934
332236.7472199842,4128610.8273522276
332236.65901304875,4128610.8513179356
332236.5710282364,4128610.886379136
332236.4830434271,4128610.9214403383
332236.403923734,4128610.956324067
332236.32502616465,4128611.002303289
332236.2372634784,4128611.048459986
332236.1581437874,4128611.0833437173
332236.0969764579,4128611.1289679967
332236.01785676816,4128611.1638517305
332235.9296498379,4128611.1878174464
332235.74437086354,4128611.2359263524
332235.65616393473,4128611.2598920707
332235.5768221237,4128611.2836803165
332235.48861519585,4128611.3076460366
332235.3917652753,4128611.3428847245
332235.3126455903,4128611.3777684635
332235.21601779805,4128611.4241026444
332235.12825511966,4128611.4702593535
332235.0402703219,4128611.5053205704
332234.9522855225,4128611.5403817897
332234.8640785987,4128611.5643475144
332234.76700655825,4128611.5884907176
332234.66993451834,4128611.6126339217
