X(E/m),Y(N/m)
332237.98027583037,4128613.9439501907
332237.8836480535,4128613.990284342
332237.7781551633,4128614.036795966
332237.6726622741,4128614.08330759
332237.55808215006,4128614.1189011964
332237.44350202684,4128614.1544948025
332237.3380091409,4128614.201006433
332237.1356663642,4128614.282756731
332237.0567688261,4128614.328735949
332236.95083169924,4128614.3530565975
332236.82716434234,4128614.3777321945
332236.7214493394,4128614.4131483403
332236.61551221437,4128614.437468995
332236.5097972129,4128614.4728851425
332236.40430433565,4128614.519396784
332236.2897242221,4128614.5549904066
332236.0960244532,4128614.6254677656
332236.0082618075,4128614.671624466
332235.7966096918,4128614.7313612853
332235.6820295833,4128614.7669549193
332235.56722735136,4128614.7914530598
332235.4526472445,4128614.827046695
332235.3469322523,4128614.8624628577
332235.2323521472,4128614.8980564973
332235.0213664172,4128614.9910798133
332234.924516542,4128615.0263185077
332234.8190236796,4128615.072830169
332234.7310389196,4128615.107891391
332234.6341890468,4128615.143130088
332234.5282519357,4128615.16745077
332234.42253695114,4128615.202866945
332234.3256870806,4128615.238105645
332234.2377023242,4128615.2731668726
332234.1322094683,4128615.319678544
332234.0355817267,4128615.36601274
332233.83346113574,4128615.4588586125
332233.74569851026,4128615.505015337
332233.6579358857,4128615.551172063
332233.5699511351,4128615.586233297
332233.47287914495,4128615.610376516
332233.35807692946,4128615.634874688
332233.252361955,4128615.6702908785
332233.05844010646,4128615.729672818
332232.94386002154,4128615.765266489
332232.8467880349,4128615.7894097157
332232.7410730642,4128615.824825911
332232.63558022276,4128615.8713376
332232.44232476846,4128615.9640060314
332232.27477614244,4128616.0117600653
332232.0897194202,4128616.070964551
332232.0017346807,4128616.1060258015
332231.90510695893,4128616.1523600235
332231.817122221,4128616.1874212776
332231.72049450106,4128616.233755502
332231.6238667822,4128616.2800897267
332231.50906458,4128616.304587924
332231.40334962076,4128616.3400041386
332231.3242300012,4128616.374887919
332231.14803840464,4128616.4339149464
332231.05096643,4128616.458058194
332230.9541165864,4128616.493296936
332230.8572667436,4128616.5285356785
332230.7515517896,4128616.563951901
332230.6458368363,4128616.5993681243
332230.44349417556,4128616.681118589
332230.3377792249,4128616.7165348157
332230.1618097733,4128616.786657358
332230.0119913982,4128616.83405648
332229.90605431894,4128616.85837722
332229.80011724035,4128616.8826979636
332229.6941801623,4128616.9070187067
332229.5973303288,4128616.9422574635
332229.50025836355,4128616.96640073
332229.39454341994,4128617.00181697
332229.1833356683,4128617.083744945
332228.99008027656,4128617.176413458
332228.8934525823,4128617.222747716
332228.8054678667,4128617.2578090024
332228.708618043,4128617.293047769
332228.61176821537,4128617.3282865393
332228.5058311457,4128617.3526072972
332228.41806856927,4128617.39876408
332228.2066387017,4128617.469596588
332227.9956531067,4128617.562620088
332227.7844453812,4128617.6445481004
332227.68781769613,4128617.6908823717
332227.5911900144,4128617.7372166454
332227.50298317615,4128617.7611824526
332227.39704611443,4128617.785503226
332227.2122115963,4128617.855803313
332227.0185119704,4128617.926280888
332226.9037098012,4128617.95077915
332226.8068599901,4128617.986017941
332226.7011450691,4128618.021434216
332226.61316037027,4128618.0564955254
332226.5253978086,4128618.102652328
332226.4376352502,4128618.1488091312
332226.2525786102,4128618.2080137488
332226.05887899955,4128618.278491346
332225.9440768373,4128618.3029896216
332225.8472270338,4128618.3382284236
332225.75059936877,4128618.384562718
332225.57485212415,4128618.4657808505
332225.4084142714,4128618.569012487
332225.25881808717,4128618.6275071884
332225.0819601591,4128618.653247869
332224.9846660878,4128618.6662956974
332224.88759415096,4128618.6904390184
332224.78165710694,4128618.7147598253
332224.6848073147,4128618.749998641
332224.587957521,4128618.7852374576
332224.3942579359,4128618.8557150946
332224.29718600493,4128618.879858422
332224.2094234637,4128618.92601525
332224.130526033,4128618.971994593
332224.0511843256,4128618.9957829504
332223.9627553666,4128619.0086533036
332223.8743264078,4128619.0215236587
332223.77725447994,4128619.0456669927
332223.6981349122,4128619.080550846
332223.52216555947,4128619.150673531
332223.4344030273,4128619.196830367
332223.33733110235,4128619.2209737054
332223.16158389655,4128619.3021918903
332223.0735992242,4128619.3372532404
332222.9858366939,4128619.38341008
332222.9155822439,4128619.418116455
332222.82737543207,4128619.4420823124
332222.6334537333,4128619.501464498
332222.5541120321,4128619.525252872
332222.4749924758,4128619.560136738
332222.31675336044,4128619.6299044727
332222.2108163342,4128619.6542253145
332222.11396656005,4128619.6894641602
332222.03484700463,4128619.72434803
332221.9563938782,4128619.792518379
332222.0386234302,4128619.912971401
332222.1552027019,4128619.97723701
332222.2363215372,4128620.0422125715
332222.2731148284,4128620.108075574
332222.2651382871,4128620.1526350314
332222.2835349313,4128620.1855665324
332222.27511410986,4128620.207935005
332222.258050318,4128620.2415764593
332222.21439120325,4128620.2757503744
332222.1705099463,4128620.298828801
332222.1450253319,4128620.3548387275
332222.11998500524,4128620.433039637
332222.0947225364,4128620.5001450568
332222.06923792546,4128620.5561549845
332222.0348882044,4128620.612342398
332221.98280827026,4128620.6688847905
332221.9039108678,4128620.7148641553
332221.8072832504,4128620.761198497
332221.7370288144,4128620.7959048823
332221.57945616083,4128620.8989591105
332221.5007809061,4128620.956033971
332221.4309707601,4128621.012931344
332221.361382761,4128621.0809242106
332221.30021558073,4128621.126548603
332221.2479135085,4128621.1719955076
332221.1867463318,4128621.2176198997
332221.09876168723,4128621.2526812702
332220.99304682866,4128621.288097619
332220.9052843299,4128621.3342544823
332220.8088788714,4128621.391684329
